"Statistic Label","Sex","Industry","Province County or City","CensusYear","UNIT","VALUE"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","South Tipperary","2011","Number","196"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","South Tipperary","2016","Number",""
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Waterford","2002","Number","33"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Waterford","2006","Number","66"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Waterford","2011","Number","32"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Waterford","2016","Number","42"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Waterford City","2002","Number","5"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Waterford City","2006","Number","6"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Waterford City","2011","Number","5"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Waterford City","2016","Number",""
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Waterford County","2002","Number","28"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Waterford County","2006","Number","60"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Waterford County","2011","Number","27"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Waterford County","2016","Number",""
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Connacht","2002","Number","1166"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Connacht","2006","Number","1323"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Connacht","2011","Number","901"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Connacht","2016","Number","908"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Galway","2002","Number","388"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Galway","2006","Number","439"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Galway","2011","Number","324"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Galway","2016","Number","341"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Galway City","2002","Number","40"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Galway City","2006","Number","50"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Galway City","2011","Number","31"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Galway City","2016","Number","26"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Galway County","2002","Number","348"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Galway County","2006","Number","389"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Galway County","2011","Number","293"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Galway County","2016","Number","315"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Leitrim","2002","Number","86"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Leitrim","2006","Number","111"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Leitrim","2011","Number","78"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Leitrim","2016","Number","58"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Mayo","2002","Number","307"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Mayo","2006","Number","337"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Mayo","2011","Number","249"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Mayo","2016","Number","255"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Roscommon","2002","Number","340"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Roscommon","2006","Number","366"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Roscommon","2011","Number","209"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Roscommon","2016","Number","222"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Sligo","2002","Number","45"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Sligo","2006","Number","70"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Sligo","2011","Number","41"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Sligo","2016","Number","32"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Ulster (part of)","2002","Number","440"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Ulster (part of)","2006","Number","561"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Ulster (part of)","2011","Number","389"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Ulster (part of)","2016","Number","407"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Cavan","2002","Number","142"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Cavan","2006","Number","192"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Cavan","2011","Number","122"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Cavan","2016","Number","133"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Donegal","2002","Number","211"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Donegal","2006","Number","248"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Donegal","2011","Number","195"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Donegal","2016","Number","187"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Monaghan","2002","Number","87"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Monaghan","2006","Number","121"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Monaghan","2011","Number","72"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Monaghan","2016","Number","87"
"Population 15 years and over at work","Both sexes","Manufacturing industries","State","2002","Number","244203"
"Population 15 years and over at work","Both sexes","Manufacturing industries","State","2006","Number","243182"
"Population 15 years and over at work","Both sexes","Manufacturing industries","State","2011","Number","193080"
